,,,,,,
date,reservoir_storage,conservation_storage,percent_full,conservation_capacity,,
2018-01-13,30630793,25701496,82,31347630,,
2018-01-14,30586871,25681462,81.9,31347630,,
2018-01-15,30596899,25685267,81.9,31347630,,
2018-01-16,30675837,25715690,82,31347630,,
2018-01-17,30562619,25661321,81.9,31347630,,
2018-01-18,30516635,25630467,81.8,31347630,,
2018-01-19,30492764,25609712,81.7,31347630,,
2018-01-20,30490702,25608765,81.7,31347630,,
2018-01-21,30498161,25616401,81.7,31347630,,
2018-01-22,30568783,25654783,81.8,31347630,,
2018-01-23,30546011,25644879,81.8,31347630,,
2018-01-24,30538762,25644036,81.8,31347630,,
2018-01-25,30524735,25636684,81.8,31347630,,
2018-01-26,30516308,25630648,81.8,31347630,,
2018-01-27,30553189,25647742,81.8,31347630,,
2018-01-28,30578830,25657156,81.8,31347630,,
2018-01-29,30587559,25659431,81.9,31347630,,
2018-01-30,30548166,25640844,81.8,31347630,,
2018-01-31,30510863,25620570,81.7,31347630,,
2018-02-01,30525516,25629146,81.8,31347630,,
2018-02-02,30505601,25619850,81.7,31347630,,
2018-02-03,30465846,25593321,81.6,31347630,,
2018-02-04,30485114,25598766,81.7,31347630,,
2018-02-05,30469446,25588351,81.6,31347630,,
2018-02-06,30468940,25586580,81.6,31347630,,
2018-02-07,30555788,25620633,81.7,31347630,,
2018-02-08,30531828,25603709,81.7,31347630,,
2018-02-09,30525240,25594624,81.6,31347630,,
2018-02-10,30600369,25623508,81.7,31347630,,
2018-02-11,30712438,25681252,81.9,31347630,,
2018-02-12,30678060,25675607,81.9,31347630,,
2018-02-13,30675806,25677025,81.9,31347630,,
2018-02-14,30679006,25677692,81.9,31347630,,
2018-02-15,30688270,25687907,81.9,31347630,,
2018-02-16,30726517,25715503,82,31347630,,
2018-02-17,30743941,25728880,82.1,31347630,,
2018-02-18,30737846,25729173,82.1,31347630,,
2018-02-19,30726612,25726203,82.1,31347630,,
2018-02-20,30784028,25776128,82.2,31347630,,
2018-02-21,31245215,26092592,83.2,31347630,,
2018-02-22,31953209,26390041,84.2,31347630,,
2018-02-23,32451855,26605696,84.9,31347630,,
2018-02-24,32816122,26740043,85.3,31347630,,
2018-02-25,33247631,26828030,85.6,31347630,,
2018-02-26,33702621,26851299,85.7,31347630,,
2018-02-27,33948275,26858225,85.7,31347630,,
2018-02-28,34136354,26865204,85.7,31347630,,
2018-03-01,34472440,26891598,85.8,31347630,,
2018-03-02,34626161,26893735,85.8,31347630,,
2018-03-03,34672306,26898473,85.8,31347630,,
2018-03-04,34689539,26901811,85.8,31347630,,
2018-03-05,34748212,26908967,85.8,31347630,,
2018-03-06,34780233,26902535,85.8,31347630,,
2018-03-07,34749399,26891642,85.8,31347630,,
2018-03-08,34646550,26880921,85.8,31347630,,
2018-03-09,34535678,26874436,85.7,31347630,,
2018-03-10,34489299,26875810,85.7,31347630,,
2018-03-11,34479438,26874446,85.7,31347630,,
2018-03-12,34393554,26860543,85.7,31347630,,
2018-03-13,34297948,26848442,85.6,31347630,,
2018-03-14,34199274,26833464,85.6,31347630,,
2018-03-15,34091846,26823775,85.6,31347630,,
2018-03-16,34030250,26822987,85.6,31347630,,
2018-03-17,33963896,26817269,85.5,31347630,,
2018-03-18,33930842,26822935,85.6,31347630,,
2018-03-19,33892660,26802511,85.5,31347630,,
2018-03-20,33849047,26779060,85.4,31347630,,
2018-03-21,33716799,26756198,85.4,31347630,,
2018-03-22,33593586,26731248,85.3,31347630,,
2018-03-23,33478509,26707650,85.2,31347630,,
2018-03-24,33431798,26697904,85.2,31347630,,
2018-03-25,33368206,26700929,85.2,31347630,,
2018-03-26,33268098,26682786,85.1,31347630,,
2018-03-27,33205080,26688311,85.1,31347630,,
2018-03-28,33339075,26722464,85.2,31347630,,
2018-03-29,33821419,26783922,85.4,31347630,,
2018-03-30,33990996,26803180,85.5,31347630,,
2018-03-31,33867000,26795808,85.5,31347630,,
2018-04-01,33812467,27012054,85.7,31535419,,
2018-04-02,33728796,27000811,85.6,31535419,,
2018-04-03,33664955,26993987,85.6,31535419,,
2018-04-04,33634238,26983693,85.6,31535419,,
2018-04-05,33498535,26959109,85.5,31535419,,
2018-04-06,33447894,26943688,85.4,31535419,,
2018-04-07,33554303,26942941,85.4,31535419,,
2018-04-08,33477677,26962482,85.5,31535419,,
2018-04-09,33440941,26940602,85.4,31535419,,
2018-04-10,33390918,26917661,85.4,31535419,,
2018-04-11,33283194,26895104,85.3,31535419,,
2018-04-12,33162380,26876973,85.2,31535419,,
2018-04-13,33060044,26853279,85.2,31535419,,
2018-04-14,33151465,26854945,85.2,31535419,,
2018-04-15,33068995,26869753,85.2,31535419,,
2018-04-16,32928898,26851262,85.1,31535419,,
2018-04-17,32819234,26812345,85,31535419,,
2018-04-18,32768795,26800523,85,31535419,,
2018-04-19,32687992,26775423,84.9,31535419,,
2018-04-20,32539866,26720101,84.7,31535419,,
2018-04-21,32437207,26687273,84.6,31535419,,
2018-04-22,32443386,26736896,84.8,31535419,,
2018-04-23,32334268,26688792,84.6,31535419,,
2018-04-24,32218123,26640529,84.5,31535419,,
2018-04-25,32148180,26620991,84.4,31535419,,
2018-04-26,32077656,26601964,84.4,31535419,,
2018-04-27,31980214,26570933,84.3,31535419,,
2018-04-28,31896201,26545208,84.2,31535419,,
2018-04-29,31820289,26525309,84.1,31535419,,
2018-04-30,31732157,26496286,84,31535419,,
2018-05-01,31651425,26493527,84.1,31518919,,
2018-05-02,31573235,26470352,84,31518919,,
2018-05-03,31543277,26477532,84,31518919,,
2018-05-04,31603817,26528372,84.2,31518919,,
2018-05-05,31660488,26564273,84.3,31518919,,
2018-05-06,31663182,26682626,84.7,31518919,,
2018-05-07,31638578,26684941,84.7,31518919,,
2018-05-08,31629048,26686339,84.7,31518919,,
2018-05-09,31593121,26670672,84.6,31518919,,
2018-05-10,31543573,26651634,84.6,31518919,,
2018-05-11,31473308,26624243,84.5,31518919,,
2018-05-12,31430502,26606826,84.4,31518919,,
2018-05-13,31387414,26585493,84.3,31518919,,
2018-05-14,31336221,26562439,84.3,31518919,,
2018-05-15,31289285,26540394,84.2,31518919,,
2018-05-16,31234230,26511631,84.1,31518919,,
2018-05-17,31177270,26479793,84,31518919,,
2018-05-18,31096982,26435869,83.9,31518919,,
2018-05-19,31015972,26388526,83.7,31518919,,
